Search:,Year,Semester
LLD 100WB (Section 06),43942,In Person,Writing Workshop for Business Students,WID,3.0,SEM,TR,01:30PM-02:45PM,Shama Ball,CL205,08/21/24-12/09/24,0,2024,Fall
LLD 100WB (Section 07),42440,In Person,Writing Workshop for Business Students,WID,3.0,SEM,MW,01:30PM-02:45PM,Nathapong Shugan,BBC205,08/21/24-12/09/24,0,2024,Fall
LLD 100WB (Section 08),41619,In Person,Writing Workshop for Business Students,WID,3.0,SEM,TR,01:30PM-02:45PM,Scott Alkire,SH434,08/21/24-12/09/24,0,2024,Fall
LLD 100WB (Section 09),41620,In Person,Writing Workshop for Business Students,WID,3.0,SEM,MW,10:30AM-11:45AM,Kaye Sanders,CL205,08/21/24-12/09/24,0,2024,Fall
LLD 100WB (Section 10),43132,In Person,Writing Workshop for Business Students,WID,3.0,SEM,MW,12:00PM-01:15PM,Scott Alkire,SH414,08/21/24-12/09/24,3,2024,Fall
LLD 100WB (Section 81),40792,Fully Online,Writing Workshop for Business Students,WID,3.0,SEM,TBA,TBA,Scott Alkire,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
LLD 100WB (Section 82),40959,Fully Online,Writing Workshop for Business Students,WID,3.0,SEM,TBA,TBA,Shama Ball,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
LLD 100WB (Section 83),40960,Fully Online,Writing Workshop for Business Students,WID,3.0,SEM,TBA,TBA,Effie Chiu,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
LLD 100WB (Section 84),41257,Fully Online,Writing Workshop for Business Students,WID,3.0,SEM,TBA,TBA,Kathy Haven,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
LLD 100WB (Section 85),42441,Fully Online,Writing Workshop for Business Students,WID,3.0,SEM,TBA,TBA,Kathy Haven,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
