Search:,Year,Semester
ENGL 1A (Section 31),43845,In Person,First Year Writing,GE: A2,3.0,LEC,TR,09:00AM-10:15AM,Roohi Vora,SH229,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 32),41475,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Kristin Fitzpatrick Ezell,SH229,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 33),41476,In Person,First Year Writing,GE: A2,3.0,LEC,TR,09:00AM-10:15AM,Joseph Navarro,BBC123,08/21/24-12/09/24,3,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 34),41929,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Joseph Navarro,BBC123,08/21/24-12/09/24,1,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 35),41477,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Joseph Navarro,BBC122,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 36),41478,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Ryan Skinnell,BBC122,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 37),41492,In Person,First Year Writing,GE: A2,3.0,LEC,TR,09:00AM-10:15AM,Katharine Studer,SH348,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 38),41479,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Katharine Studer,CL225B,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 39),41480,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Katharine Studer,CL225B,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 40),41481,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Katharine Studer,SH348,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 41),41482,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Jillian Murphy,BBC122,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 42),41588,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Jillian Murphy,BBC124,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 43),43850,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Tony Papanikolas,SH411,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 44),41589,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Jane Berg,CL306,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 46),41765,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Katherine Hamilton,SH411,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 47),41766,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Anne Walker,DMH226B,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 48),41930,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Jillian Murphy,BBC122,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 49),41931,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Mostafa Jalal,CL316,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 50),41772,In Person,First Year Writing,GE: A2,3.0,LEC,TR,04:30PM-05:45PM,Mostafa Jalal,CL216,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 51),41773,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Mostafa Jalal,CL225A,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 52),44437,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Ume Ali,BBC128,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 53),41774,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Ume Ali,BBC128,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 54),48913,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Ume Ali,SH312,08/21/24-12/09/24,0,2024,Fall
ENGL 1A (Section 55),41937,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Chelsea Criez,CL225B,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 56),41776,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Chelsea Criez,CL225B,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 57),41781,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Yasmeen Abdeljabbar,SH348,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 58),42091,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Peter O'Sullivan,SH348,08/21/24-12/09/24,1,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 59),42093,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Mostafa Jalal,BBC123,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 60),42710,In Person,First Year Writing,GE: A2,3.0,LEC,MW,04:30PM-05:45PM,Ume Ali,BBC123,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 61),43852,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Christopher Dizon,BBC121,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 62),43853,In Person,First Year Writing,GE: A2,3.0,LEC,MW,10:30AM-11:45AM,Christopher Dizon,BBC121,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 63),43297,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Christopher Dizon,BBC121,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 64),43854,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Christopher Dizon,CL225B,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 65),43298,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Raina Levesque,SH348,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 66),43299,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Raina Levesque,SH348,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 67),43300,In Person,First Year Writing,GE: A2,3.0,LEC,TR,04:30PM-05:45PM,Raina Levesque,SH348,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 68),43301,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Leanne Lindelof,CL225A,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 69),43302,In Person,First Year Writing,GE: A2,3.0,LEC,TR,04:30PM-05:45PM,Leanne Lindelof,CL225A,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 70),43303,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Amanda Smith,BBC123,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 71),43764,In Person,First Year Writing,GE: A2,3.0,LEC,TR,01:30PM-02:45PM,Amanda Smith,BBC123,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 74),43860,In Person,First Year Writing,GE: A2,3.0,LEC,MW,07:30AM-08:45AM,Ryan Smith,BBC221,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 75),43470,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Ryan Smith,BBC221,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 76),43861,In Person,First Year Writing,GE: A2,3.0,LEC,MW,12:00PM-01:15PM,Ryan Smith,SH444,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 77),44448,In Person,First Year Writing,GE: A2,3.0,LEC,MW,01:30PM-02:45PM,Ryan Smith,SH444,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 78),43862,In Person,First Year Writing,GE: A2,3.0,LEC,MW,03:00PM-04:15PM,Jillian Murphy,BBC124,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 80),43545,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Victoria Thorp,SH411,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 81),49249,In Person,First Year Writing,GE: A2,3.0,LEC,TR,03:00PM-04:15PM,Victoria Thorp,SH414,08/21/24-12/09/24,0,2024,Fall
ENGL 1A (Section 82),43701,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Joseph Navarro,BBC128,08/21/24-12/09/24,1,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 83),43723,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Liz Asborno,BBC130,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 84),43725,In Person,First Year Writing,GE: A2,3.0,LEC,TR,09:00AM-10:15AM,Rita Cameron,SH413,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 87),43756,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Alayna Mills,SH444,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 88),43304,In Person,First Year Writing,GE: A2,3.0,LEC,MW,09:00AM-10:15AM,Timothy Cech,SH229,08/21/24-12/09/24,1,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 89),44371,In Person,First Year Writing,GE: A2,3.0,LEC,TR,12:00PM-01:15PM,Samuel Michael,BBC121,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 94),45441,In Person,First Year Writing,GE: A2,3.0,LEC,MW,07:30AM-08:45AM,Lilly Chen,BBC128,08/21/24-12/09/24,1,IC - See course description for requirements.,2024,Fall
ENGL 1A (Section 96),45443,In Person,First Year Writing,GE: A2,3.0,LEC,TR,10:30AM-11:45AM,Jordan Ellis,CL218,08/21/24-12/09/24,0,IC - See course description for requirements.,2024,Fall
